window_id,symbol,event_timestamp,event_direction,liquidity_onset_time,volume_onset_time,price_onset_time,ordering,classification,liquidity_baseline,liquidity_threshold,volume_baseline,volume_threshold,price_baseline,price_threshold
BTCUSDT_20240328_002022_price_shock,BTCUSDT,2024-03-28T00:20:22.409000+00:00,up,2024-03-28T00:21:23.316000+00:00,,2024-03-28T00:21:38.490000+00:00,"liquidity,price",liquidity-first,0.6856943939956914,9.139971675660021,44.166196721311266,348.071069793393,69727.00474481551,70048.82201151719
BTCUSDT_20240328_133407_price_shock,BTCUSDT,2024-03-28T13:34:07.840000+00:00,up,2024-03-28T13:34:08.100000+00:00,2024-03-28T13:35:05+00:00,2024-03-28T13:34:12.037000+00:00,"liquidity,price,volume",liquidity-first,0.20732880946988125,1.8287662196306889,84.37303278688529,236.34572280413045,71009.36103456456,71282.91452631801
